position,season,weeks,mae,baseline_mae,rank_corr,baseline_rank_corr,top5_hit_rate,baseline_top5_hit_rate,top5_mean_points,slate_mean_points,rank_corr_edge,mae_edge,config
K,2023,18,3.5219146299926902,3.5005251106231534,0.14311586950002705,0.07833059128937528,0.6777777777777778,0.5666666666666667,9.844444444444443,8.18043195898637,0.06478527821065178,-0.021389519369536814,K:ridge:a3000
K,2024,18,3.6916569362291005,3.703856111000447,0.1980339595647186,0.1944159746713297,0.5666666666666668,0.6444444444444444,9.18888888888889,8.514545433118153,0.0036179848933888814,0.012199174771346577,K:ridge:a3000
K,2025,18,3.6239754993239512,3.666273898382747,0.19008851507222846,0.10998854798264222,0.6555555555555556,0.5333333333333333,10.577777777777778,8.628269768503902,0.08009996708958624,0.042298399058795955,K:ridge:a3000
K,2023,18,3.523800977480059,3.5005251106231534,0.14308908789346922,0.07833059128937528,0.6444444444444444,0.5666666666666667,9.422222222222222,8.18043195898637,0.06475849660409394,-0.023275866856905747,K:ridge:a10000
K,2024,18,3.687023833152807,3.703856111000447,0.19925291196176656,0.1944159746713297,0.5777777777777778,0.6444444444444444,9.244444444444445,8.514545433118153,0.004836937290436855,0.016832277847639965,K:ridge:a10000
K,2025,18,3.623942315941348,3.666273898382747,0.19215490542809163,0.10998854798264222,0.6666666666666666,0.5333333333333333,10.788888888888888,8.628269768503902,0.08216635744544941,0.04233158244139901,K:ridge:a10000
DST,2023,18,4.784477298744303,4.770118592678362,0.2784852894071943,0.27467408403510757,0.7,0.6555555555555556,10.122222222222222,7.774665496540496,0.0038112053720867345,-0.014358706065941362,DST:ridge:a30
DST,2024,18,4.3748263853598495,4.436707600893061,0.37034044071041833,0.33652636297419597,0.7666666666666667,0.7666666666666667,10.822222222222223,6.807622354497354,0.03381407773622236,0.06188121553321135,DST:ridge:a30
DST,2025,18,4.582147881190483,4.629665539588631,0.34275376466992136,0.34253100165377615,0.7444444444444445,0.7,10.344444444444443,6.873860398860399,0.000222763016145211,0.04751765839814759,DST:ridge:a30
DST,2023,18,4.780572724095216,4.770118592678362,0.2816492219218729,0.27467408403510757,0.7111111111111111,0.6555555555555556,10.233333333333333,7.774665496540496,0.006975137886765348,-0.010454131416854473,DST:ridge:a100
DST,2024,18,4.372560872506621,4.436707600893061,0.36836292296253365,0.33652636297419597,0.7555555555555555,0.7666666666666667,10.8,6.807622354497354,0.031836559988337676,0.06414672838644009,DST:ridge:a100
DST,2025,18,4.585081011595289,4.629665539588631,0.34113892105125065,0.34253100165377615,0.7444444444444445,0.7,10.411111111111111,6.873860398860399,-0.0013920806025254917,0.044584527993341894,DST:ridge:a100
DST,2023,18,4.777515563328425,4.770118592678362,0.28420400598465734,0.27467408403510757,0.6666666666666666,0.6555555555555556,9.733333333333333,7.774665496540496,0.009529921949549769,-0.007396970650063395,DST:ridge:a300
DST,2024,18,4.372541287530739,4.436707600893061,0.3746917604463136,0.33652636297419597,0.7666666666666667,0.7666666666666667,10.866666666666667,6.807622354497354,0.03816539747211761,0.06416631336232204,DST:ridge:a300
DST,2025,18,4.585351068640437,4.629665539588631,0.33890677983532924,0.34253100165377615,0.7444444444444445,0.7,10.433333333333334,6.873860398860399,-0.0036242218184469044,0.044314470948194185,DST:ridge:a300
DST,2023,18,4.7759696137003855,4.770118592678362,0.282497528216011,0.27467408403510757,0.6444444444444444,0.6555555555555556,9.722222222222221,7.774665496540496,0.007823444180903416,-0.00585102102202395,DST:ridge:a1000
DST,2024,18,4.374456699275329,4.436707600893061,0.3754231102644599,0.33652636297419597,0.7777777777777778,0.7666666666666667,11.077777777777778,6.807622354497354,0.03889674729026393,0.06225090161773217,DST:ridge:a1000
DST,2025,18,4.583826212516489,4.629665539588631,0.3396737025695012,0.34253100165377615,0.7666666666666667,0.7,10.666666666666666,6.873860398860399,-0.0028572990842749557,0.04583932707214178,DST:ridge:a1000
